channel_id,sequence,send_height,ack_height,block_delay
channel-6994,1322468,30200000,30200062,62
channel-750,680667,30200009,30200027,18
channel-85077,58883,30200018,30200061,43
channel-750,680668,30200027,30200040,13
channel-5,184171,30200037,30200048,11
channel-750,680669,30200041,30200045,4
channel-85077,58884,30200052,30200061,9
channel-122,667437,30200059,30200063,4
channel-326,537271,30200067,30200087,20
channel-6994,1322469,30200069,30200097,28
channel-85077,58885,30200071,30200097,26
channel-0,4035735,30200079,30200089,10
channel-750,680670,30200089,30200105,16
channel-750,680671,30200090,30200105,15
channel-72,516369,30200090,30200131,41
channel-85077,58886,30200092,30200132,40
channel-750,680672,30200095,30200109,14
channel-85791,3685,30200097,30200103,6
channel-750,680673,30200098,30200109,11
channel-85077,58887,30200107,30200132,25
channel-85077,58888,30200120,30200132,12
channel-216,94020,30200123,30200127,4
channel-199,132470,30200125,30200134,9
channel-750,680674,30200130,30200134,4
channel-6994,1322470,30200150,30200182,32
channel-0,4035736,30200151,30200161,10
channel-326,537272,30200173,30200178,5
channel-19774,345654,30200176,30200185,9
channel-222,3825,30200181,30200190,9
channel-326,537273,30200186,30200192,6
channel-874,292242,30200196,30200207,11
channel-42,1489762,30200197,30200204,7
channel-2494,31839,30200199,30200212,13
channel-0,4035737,30200201,30200209,8
channel-19774,345655,30200203,30200216,13
channel-89298,18536,30200207,30200215,8
channel-1,408002,30200219,30200312,93
channel-874,292243,30200234,30200239,5
channel-750,680675,30200238,30200253,15
channel-89298,18537,30200250,30200260,10
channel-113,301245,30200252,30200263,11
channel-143,128213,30200264,30200275,11
channel-326,537274,30200271,30200277,6
channel-75,844462,30200288,30200297,9
channel-122,667438,30200288,30200291,3
channel-79703,4390,30200302,30200309,7
channel-75,844463,30200311,30200319,8
channel-88,466981,30200312,30200330,18
channel-216,94021,30200323,30200327,4
channel-2494,31840,30200332,30200340,8
channel-122,667439,30200332,30200336,4
channel-216,94022,30200332,30200337,5
channel-72,516370,30200339,30200388,49
channel-2494,31841,30200352,30200363,11
channel-2494,31842,30200372,30200381,9
channel-320,119114,30200393,30200403,10
channel-0,4035738,30200399,30200408,9
channel-122,667440,30200405,30200409,4
channel-208,1489103,30200425,30200440,15
channel-208,1489104,30200446,30200454,8
channel-251,85113,30200457,30200470,13
channel-326,537275,30200458,30200487,29
channel-208,1489105,30200484,30200498,14
channel-113,301246,30200487,30200498,11
channel-85077,58889,30200487,30200540,53
channel-642,126459,30200496,30200539,43
channel-642,126460,30200507,30200561,54
channel-0,4035739,30200509,30200518,9
