channel_id,sequence,send_height,ack_height,block_delay
channel-72,516539,30397018,30397062,44
channel-85077,61542,30397023,30397032,9
channel-750,686154,30397041,30397053,12
channel-750,686155,30397042,30397046,4
channel-750,686156,30397043,30397053,10
channel-251,85320,30397053,30397064,11
channel-208,1491457,30397053,30397063,10
channel-750,686157,30397054,30397059,5
channel-208,1491458,30397055,30397067,12
channel-115,20448,30397056,30397067,11
channel-75,845527,30397059,30397065,6
channel-750,686158,30397062,30397086,24
channel-208,1491459,30397062,30397072,10
channel-0,4041262,30397066,30397083,17
channel-782,310331,30397066,30397074,8
channel-750,686159,30397066,30397073,7
channel-0,4041263,30397068,30397083,15
channel-0,4041264,30397068,30397083,15
channel-642,126585,30397068,30397085,17
channel-91017,2972,30397073,30397085,12
channel-750,686160,30397077,30397093,16
channel-0,4041265,30397081,30397093,12
channel-874,293828,30397088,30397093,5
channel-750,686161,30397109,30397114,5
channel-98451,146,30397115,30397128,13
channel-91017,2973,30397128,30397140,12
channel-750,686162,30397129,30397133,4
channel-42,1490124,30397133,30397145,12
channel-0,4041266,30397133,30397145,12
channel-75,845528,30397143,30397149,6
channel-750,686163,30397143,30397153,10
channel-75016,4682,30397144,30397162,18
channel-320,119328,30397146,30397165,19
channel-874,293829,30397146,30397150,4
channel-6994,1326691,30397151,30397160,9
channel-874,293830,30397151,30397157,6
channel-208,1491460,30397153,30397164,11
channel-781,11388,30397164,30397170,6
channel-0,4041267,30397166,30397185,19
channel-208,1491461,30397171,30397183,12
channel-750,686164,30397177,30397181,4
channel-750,686165,30397183,30397191,8
channel-874,293831,30397183,30397187,4
channel-6994,1326692,30397199,30397209,10
channel-874,293832,30397205,30397212,7
channel-75,845529,30397212,30397219,7
channel-0,4041268,30397220,30397228,8
channel-0,4041269,30397221,30397231,10
channel-19774,346280,30397222,30397233,11
channel-750,686166,30397222,30397235,13
channel-874,293833,30397222,30397228,6
channel-750,686167,30397225,30397239,14
channel-208,1491462,30397225,30397236,11
channel-1429,140866,30397228,30397236,8
channel-750,686168,30397228,30397243,15
channel-750,686169,30397231,30397265,34
channel-750,686170,30397231,30397241,10
channel-750,686171,30397235,30397253,18
channel-750,686172,30397235,30397244,9
channel-874,293834,30397235,30397240,5
channel-874,293835,30397240,30397250,10
channel-89298,18801,30397240,30397250,10
channel-122,668582,30397241,30397245,4
channel-782,310332,30397246,30397253,7
channel-874,293836,30397250,30397256,6
channel-184,137481,30397252,30397262,10
channel-6994,1326693,30397255,30397264,9
channel-874,293837,30397262,30397273,11
channel-750,686173,30397263,30397267,4
channel-6994,1326694,30397264,30397273,9
channel-0,4041270,30397275,30397293,18
channel-6994,1326695,30397285,30397298,13
channel-750,686174,30397297,30397301,4
channel-204,670898,30397299,30397307,8
channel-75,845530,30397302,30397307,5
channel-6994,1326696,30397302,30397308,6
channel-874,293838,30397305,30397308,3
channel-85077,61543,30397307,30397330,23
channel-326,538712,30397307,30397313,6
channel-208,1491463,30397322,30397335,13
channel-88,467281,30397323,30397432,109
channel-6994,1326697,30397326,30397336,10
channel-88,467282,30397329,30397432,103
channel-750,686175,30397330,30397337,7
channel-6994,1326698,30397331,30397339,8
channel-0,4041271,30397335,30397347,12
channel-750,686176,30397337,30397341,4
channel-874,293839,30397339,30397346,7
channel-88,467283,30397343,30397417,74
channel-85077,61544,30397343,30397354,11
channel-750,686177,30397344,30397367,23
channel-750,686178,30397347,30397359,12
channel-0,4041272,30397348,30397357,9
channel-15464,2669,30397350,30397362,12
channel-208,1491464,30397359,30397369,10
channel-88,467284,30397362,30397432,70
channel-750,686179,30397365,30397368,3
channel-750,686180,30397369,30397380,11
channel-750,686181,30397372,30397379,7
channel-88,467285,30397376,30397432,56
channel-874,293840,30397379,30397383,4
channel-122,668583,30397390,30397392,2
channel-874,293841,30397392,30397398,6
